id,label
9024,0
1440,0
3701,1
9819,0
3447,0
6221,1
3799,1
7271,0
2213,0
4202,0
1241,1
5931,1
2310,1
10166,1
8145,1
249,0
3026,0
2632,0
7594,1
9149,0
2847,0
6683,0
11871,0
10419,1
8919,1
236,1
11902,1
2988,1
7226,1
9164,1
1407,0
4231,1
6284,1
6509,0
1660,0
4492,1
7010,1
3883,0
4557,0
7340,0
11815,1
11072,1
6477,0
4037,0
12457,0
6803,1
6278,0
9093,1
6388,1
3761,1
7890,0
1201,0
12190,1
235,0
9059,1
7288,0
5336,0
5928,1
9574,0
5227,0
3619,0
1519,1
11519,1
10954,1
8537,0
10376,0
6845,0
9103,0
11051,1
7757,0
11039,0
7976,0
4628,1
3398,0
6004,1
8210,1
3247,1
1271,1
1649,0
3605,0
9397,1
9306,0
9064,1
2620,0
9930,0
9476,1
9482,0
5697,1
4102,1
7509,1
9179,1
5114,1
5567,1
9325,0
850,0
12386,1
8480,0
3106,0
12067,0
4925,0
2946,1
9170,1
9408,0
9052,0
11091,0
5994,0
9493,1
11678,1
2078,1
2773,0
12355,0
4097,0
10660,0
10774,0
7101,0
4221,0
2384,1
8371,0
2433,0
3376,0
5752,1
9434,0
1043,0
11554,1
8055,1
7234,1
1532,0
1547,0
7988,1
477,0
4186,1
1890,0
6554,1
2399,0
10845,1
8478,1
6007,0
12404,0
6424,0
1822,0
2343,0
2468,0
3770,1
3678,0
4163,0
3490,1
11954,1
8219,1
6048,0
8351,0
1824,0
5188,1
9160,0
12073,1
5627,0
4479,0
9855,0
11231,1
1381,1
617,1
11177,0
1142,0
6190,0
1155,1
9152,0
356,1
5303,1
2083,1
8726,0
1401,1
11157,1
3454,1
2264,0
3277,1
3870,0
10621,0
4530,0
9697,0
10696,1
6543,0
4612,0
8431,0
5132,0
1299,0
10420,1
4815,1
2122,1
5263,0
11323,0
11465,1
5539,1
7948,0
7301,0
768,0
5143,1
471,0
6093,1
12116,0
4176,1
10499,1
3358,1
9191,1
2827,1
7421,1
11025,0
1491,0
3710,0
8958,1
1847,0
12362,1
3899,1
10210,0
982,0
9357,1
7943,0
6681,0
2345,1
7274,1
4451,0
5498,0
840,0
2648,1
326,1
10894,0
2220,1
8043,1
7838,1
3330,0
8128,0
6949,1
6526,0
2101,1
10995,0
11927,1
3412,1
9222,1
7842,0
9341,0
7637,1
8155,1
897,0
465,0
8630,0
10533,0
445,0
11166,0
11339,1
11044,1
11854,0
7106,0
3168,0
5153,0
10082,0
9936,0
3546,1
5646,0
5754,0
5496,1
7359,0
7672,0
5211,0
7027,0
6638,0
7182,0
623,0
11812,1
5314,1
9549,0
11358,0
5028,0
4630,1
5555,1
10503,0
11573,0
2536,0
11913,0
4981,0
6514,1
1785,1
5851,0
1732,1
1768,1
10384,1
351,0
2755,1
798,1
11005,0
4862,1
11753,1
6185,0
11183,0
6230,1
10787,1
1042,0
11681,1
2563,0
2962,0
3824,1
7517,1
2332,0
6786,1
10915,0
7428,0
10057,0
5106,0
2125,1
2580,0
39,1
3583,0
414,0
10736,1
10155,0
686,0
10852,0
7734,1
4351,1
7856,1
1145,1
8360,1
9004,1
7413,1
10714,1
4184,0
5661,0
5396,1
3185,0
5520,1
6734,1
11487,1
8430,1
3143,1
4775,0
4748,1
8414,0
9488,1
2808,0
4622,1
10255,1
4657,0
5605,0
7162,0
2927,1
9116,1
2215,1
44,0
4216,1
8956,1
2197,1
